"","Area","Site","Depth_cm","year","month","day","ICP","mean","sd","month2","date_plot","area_site"
"1","acidic tundra","Dry",10,"2022","06","27","Al_ug_mL",20.5,NA,"June","June-27-2022","acidic tundra-Dry"
"2","acidic tundra","Dry",10,"2022","06","27","Ca_ug_mL",119.4,NA,"June","June-27-2022","acidic tundra-Dry"
"3","acidic tundra","Dry",10,"2022","06","27","Fe_ug_mL",8.6,NA,"June","June-27-2022","acidic tundra-Dry"
"4","acidic tundra","Dry",10,"2022","06","27","K_ug_mL",26.9,NA,"June","June-27-2022","acidic tundra-Dry"
"5","acidic tundra","Dry",10,"2022","06","27","Mg_ug_mL",13.8,NA,"June","June-27-2022","acidic tundra-Dry"
"6","acidic tundra","Dry",10,"2022","06","27","Mn_ug_mL",4.9,NA,"June","June-27-2022","acidic tundra-Dry"
"7","acidic tundra","Dry",10,"2022","06","27","Na_ug_mL",19,NA,"June","June-27-2022","acidic tundra-Dry"
"8","acidic tundra","Dry",10,"2022","06","27","P_ug_mL",0.5,NA,"June","June-27-2022","acidic tundra-Dry"
"9","acidic tundra","Dry",10,"2022","07","18","Al_ug_mL",0.28,NA,"July","July-18-2022","acidic tundra-Dry"
"10","acidic tundra","Dry",10,"2022","07","18","Ca_ug_mL",8.03,NA,"July","July-18-2022","acidic tundra-Dry"
"11","acidic tundra","Dry",10,"2022","07","18","Fe_ug_mL",0.22,NA,"July","July-18-2022","acidic tundra-Dry"
"12","acidic tundra","Dry",10,"2022","07","18","K_ug_mL",0.43,NA,"July","July-18-2022","acidic tundra-Dry"
"13","acidic tundra","Dry",10,"2022","07","18","Mg_ug_mL",1.13,NA,"July","July-18-2022","acidic tundra-Dry"
"14","acidic tundra","Dry",10,"2022","07","18","Mn_ug_mL",0.04,NA,"July","July-18-2022","acidic tundra-Dry"
"15","acidic tundra","Dry",10,"2022","07","18","Na_ug_mL",0.37,NA,"July","July-18-2022","acidic tundra-Dry"
"16","acidic tundra","Dry",10,"2022","07","18","P_ug_mL",0.01,NA,"July","July-18-2022","acidic tundra-Dry"
"17","acidic tundra","Dry",10,"2022","07","25","Al_ug_mL",0.22,NA,"July","July-25-2022","acidic tundra-Dry"
"18","acidic tundra","Dry",10,"2022","07","25","Ca_ug_mL",8.33,NA,"July","July-25-2022","acidic tundra-Dry"
"19","acidic tundra","Dry",10,"2022","07","25","Fe_ug_mL",0.26,NA,"July","July-25-2022","acidic tundra-Dry"
"20","acidic tundra","Dry",10,"2022","07","25","K_ug_mL",0.46,NA,"July","July-25-2022","acidic tundra-Dry"
"21","acidic tundra","Dry",10,"2022","07","25","Mg_ug_mL",1.25,NA,"July","July-25-2022","acidic tundra-Dry"
"22","acidic tundra","Dry",10,"2022","07","25","Mn_ug_mL",0.06,NA,"July","July-25-2022","acidic tundra-Dry"
"23","acidic tundra","Dry",10,"2022","07","25","Na_ug_mL",0.42,NA,"July","July-25-2022","acidic tundra-Dry"
"24","acidic tundra","Dry",10,"2022","07","25","P_ug_mL",0.01,NA,"July","July-25-2022","acidic tundra-Dry"
"25","acidic tundra","Dry",10,"2022","08","08","Al_ug_mL",0.53,0,"August","August-08-2022","acidic tundra-Dry"
"26","acidic tundra","Dry",10,"2022","08","08","Ca_ug_mL",4.495,1.195,"August","August-08-2022","acidic tundra-Dry"
"27","acidic tundra","Dry",10,"2022","08","08","Fe_ug_mL",0.56,0.071,"August","August-08-2022","acidic tundra-Dry"
"28","acidic tundra","Dry",10,"2022","08","08","K_ug_mL",0.425,0.106,"August","August-08-2022","acidic tundra-Dry"
"29","acidic tundra","Dry",10,"2022","08","08","Mg_ug_mL",0.825,0.049,"August","August-08-2022","acidic tundra-Dry"
"30","acidic tundra","Dry",10,"2022","08","08","Mn_ug_mL",0.145,0.035,"August","August-08-2022","acidic tundra-Dry"
"31","acidic tundra","Dry",10,"2022","08","08","Na_ug_mL",0.18,0.042,"August","August-08-2022","acidic tundra-Dry"
"32","acidic tundra","Dry",10,"2022","08","08","P_ug_mL",0.01,0,"August","August-08-2022","acidic tundra-Dry"
"33","acidic tundra","Dry",20,"2022","07","18","Al_ug_mL",0.51,NA,"July","July-18-2022","acidic tundra-Dry"
"34","acidic tundra","Dry",20,"2022","07","18","Ca_ug_mL",3.96,NA,"July","July-18-2022","acidic tundra-Dry"
"35","acidic tundra","Dry",20,"2022","07","18","Fe_ug_mL",0.51,NA,"July","July-18-2022","acidic tundra-Dry"
"36","acidic tundra","Dry",20,"2022","07","18","K_ug_mL",0.14,NA,"July","July-18-2022","acidic tundra-Dry"
"37","acidic tundra","Dry",20,"2022","07","18","Mg_ug_mL",0.75,NA,"July","July-18-2022","acidic tundra-Dry"
"38","acidic tundra","Dry",20,"2022","07","18","Mn_ug_mL",0.02,NA,"July","July-18-2022","acidic tundra-Dry"
"39","acidic tundra","Dry",20,"2022","07","18","Na_ug_mL",0.21,NA,"July","July-18-2022","acidic tundra-Dry"
"40","acidic tundra","Dry",20,"2022","07","18","P_ug_mL",0.01,NA,"July","July-18-2022","acidic tundra-Dry"
"41","acidic tundra","Dry",20,"2022","07","25","Al_ug_mL",0.52,NA,"July","July-25-2022","acidic tundra-Dry"
"42","acidic tundra","Dry",20,"2022","07","25","Ca_ug_mL",4.15,NA,"July","July-25-2022","acidic tundra-Dry"
"43","acidic tundra","Dry",20,"2022","07","25","Fe_ug_mL",0.54,NA,"July","July-25-2022","acidic tundra-Dry"
"44","acidic tundra","Dry",20,"2022","07","25","K_ug_mL",0.11,NA,"July","July-25-2022","acidic tundra-Dry"
"45","acidic tundra","Dry",20,"2022","07","25","Mg_ug_mL",0.81,NA,"July","July-25-2022","acidic tundra-Dry"
"46","acidic tundra","Dry",20,"2022","07","25","Mn_ug_mL",0.02,NA,"July","July-25-2022","acidic tundra-Dry"
"47","acidic tundra","Dry",20,"2022","07","25","Na_ug_mL",0.19,NA,"July","July-25-2022","acidic tundra-Dry"
"48","acidic tundra","Dry",20,"2022","07","25","P_ug_mL",0.01,NA,"July","July-25-2022","acidic tundra-Dry"
"49","acidic tundra","Dry",20,"2022","08","08","Al_ug_mL",0.56,NA,"August","August-08-2022","acidic tundra-Dry"
"50","acidic tundra","Dry",20,"2022","08","08","Ca_ug_mL",4.63,NA,"August","August-08-2022","acidic tundra-Dry"
"51","acidic tundra","Dry",20,"2022","08","08","Fe_ug_mL",0.56,NA,"August","August-08-2022","acidic tundra-Dry"
"52","acidic tundra","Dry",20,"2022","08","08","K_ug_mL",0.11,NA,"August","August-08-2022","acidic tundra-Dry"
"53","acidic tundra","Dry",20,"2022","08","08","Mg_ug_mL",0.86,NA,"August","August-08-2022","acidic tundra-Dry"
"54","acidic tundra","Dry",20,"2022","08","08","Mn_ug_mL",0.04,NA,"August","August-08-2022","acidic tundra-Dry"
"55","acidic tundra","Dry",20,"2022","08","08","Na_ug_mL",0.19,NA,"August","August-08-2022","acidic tundra-Dry"
"56","acidic tundra","Dry",20,"2022","08","08","P_ug_mL",0.01,NA,"August","August-08-2022","acidic tundra-Dry"
"57","acidic tundra","Dry",20,"2022","09","15","Al_ug_mL",0.6,NA,"September","September-15-2022","acidic tundra-Dry"
"58","acidic tundra","Dry",20,"2022","09","15","Ca_ug_mL",6.4,NA,"September","September-15-2022","acidic tundra-Dry"
"59","acidic tundra","Dry",20,"2022","09","15","Fe_ug_mL",1.3,NA,"September","September-15-2022","acidic tundra-Dry"
"60","acidic tundra","Dry",20,"2022","09","15","K_ug_mL",0.3,NA,"September","September-15-2022","acidic tundra-Dry"
"61","acidic tundra","Dry",20,"2022","09","15","Mg_ug_mL",1,NA,"September","September-15-2022","acidic tundra-Dry"
"62","acidic tundra","Dry",20,"2022","09","15","Mn_ug_mL",0.3,NA,"September","September-15-2022","acidic tundra-Dry"
"63","acidic tundra","Dry",20,"2022","09","15","Na_ug_mL",0.4,NA,"September","September-15-2022","acidic tundra-Dry"
"64","acidic tundra","Dry",20,"2022","09","15","P_ug_mL",0.05,NA,"September","September-15-2022","acidic tundra-Dry"
"65","acidic tundra","Hydric",0,"2022","07","18","Al_ug_mL",0.313,0.059,"July","July-18-2022","acidic tundra-Hydric"
"66","acidic tundra","Hydric",0,"2022","07","18","Ca_ug_mL",4.24,2.195,"July","July-18-2022","acidic tundra-Hydric"
"67","acidic tundra","Hydric",0,"2022","07","18","Fe_ug_mL",0.263,0.059,"July","July-18-2022","acidic tundra-Hydric"
"68","acidic tundra","Hydric",0,"2022","07","18","K_ug_mL",0.3,0.243,"July","July-18-2022","acidic tundra-Hydric"
"69","acidic tundra","Hydric",0,"2022","07","18","Mg_ug_mL",0.927,0.49,"July","July-18-2022","acidic tundra-Hydric"
"70","acidic tundra","Hydric",0,"2022","07","18","Mn_ug_mL",0.55,0.805,"July","July-18-2022","acidic tundra-Hydric"
"71","acidic tundra","Hydric",0,"2022","07","18","Na_ug_mL",0.323,0.04,"July","July-18-2022","acidic tundra-Hydric"
"72","acidic tundra","Hydric",0,"2022","07","18","P_ug_mL",0.015,0.013,"July","July-18-2022","acidic tundra-Hydric"
"73","acidic tundra","Hydric",0,"2022","07","25","Al_ug_mL",0.297,0.057,"July","July-25-2022","acidic tundra-Hydric"
"74","acidic tundra","Hydric",0,"2022","07","25","Ca_ug_mL",4.353,2.741,"July","July-25-2022","acidic tundra-Hydric"
"75","acidic tundra","Hydric",0,"2022","07","25","Fe_ug_mL",0.303,0.199,"July","July-25-2022","acidic tundra-Hydric"
"76","acidic tundra","Hydric",0,"2022","07","25","K_ug_mL",0.25,0.27,"July","July-25-2022","acidic tundra-Hydric"
"77","acidic tundra","Hydric",0,"2022","07","25","Mg_ug_mL",0.98,0.634,"July","July-25-2022","acidic tundra-Hydric"
"78","acidic tundra","Hydric",0,"2022","07","25","Mn_ug_mL",0.7,1.126,"July","July-25-2022","acidic tundra-Hydric"
"79","acidic tundra","Hydric",0,"2022","07","25","Na_ug_mL",0.217,0.042,"July","July-25-2022","acidic tundra-Hydric"
"80","acidic tundra","Hydric",0,"2022","07","25","P_ug_mL",0.007,0.003,"July","July-25-2022","acidic tundra-Hydric"
"81","acidic tundra","Hydric",0,"2022","08","08","Al_ug_mL",0.287,0.025,"August","August-08-2022","acidic tundra-Hydric"
"82","acidic tundra","Hydric",0,"2022","08","08","Ca_ug_mL",3.293,1.01,"August","August-08-2022","acidic tundra-Hydric"
"83","acidic tundra","Hydric",0,"2022","08","08","Fe_ug_mL",0.223,0.047,"August","August-08-2022","acidic tundra-Hydric"
"84","acidic tundra","Hydric",0,"2022","08","08","K_ug_mL",0.297,0.221,"August","August-08-2022","acidic tundra-Hydric"
"85","acidic tundra","Hydric",0,"2022","08","08","Mg_ug_mL",0.737,0.235,"August","August-08-2022","acidic tundra-Hydric"
"86","acidic tundra","Hydric",0,"2022","08","08","Mn_ug_mL",0.517,0.697,"August","August-08-2022","acidic tundra-Hydric"
"87","acidic tundra","Hydric",0,"2022","08","08","Na_ug_mL",0.227,0.055,"August","August-08-2022","acidic tundra-Hydric"
"88","acidic tundra","Hydric",0,"2022","08","08","P_ug_mL",0.008,0.003,"August","August-08-2022","acidic tundra-Hydric"
"89","acidic tundra","Hydric",0,"2022","09","17","Al_ug_mL",0.95,0.071,"September","September-17-2022","acidic tundra-Hydric"
"90","acidic tundra","Hydric",0,"2022","09","17","Ca_ug_mL",7.5,1.273,"September","September-17-2022","acidic tundra-Hydric"
"91","acidic tundra","Hydric",0,"2022","09","17","Fe_ug_mL",7.85,1.626,"September","September-17-2022","acidic tundra-Hydric"
"92","acidic tundra","Hydric",0,"2022","09","17","K_ug_mL",0.75,0.071,"September","September-17-2022","acidic tundra-Hydric"
"93","acidic tundra","Hydric",0,"2022","09","17","Mg_ug_mL",1.05,0.212,"September","September-17-2022","acidic tundra-Hydric"
"94","acidic tundra","Hydric",0,"2022","09","17","Mn_ug_mL",2.9,1.838,"September","September-17-2022","acidic tundra-Hydric"
"95","acidic tundra","Hydric",0,"2022","09","17","Na_ug_mL",0.6,0,"September","September-17-2022","acidic tundra-Hydric"
"96","acidic tundra","Hydric",0,"2022","09","17","P_ug_mL",0.05,0,"September","September-17-2022","acidic tundra-Hydric"
"97","acidic tundra","Hydric",10,"2022","06","27","Al_ug_mL",0.393,0.127,"June","June-27-2022","acidic tundra-Hydric"
"98","acidic tundra","Hydric",10,"2022","06","27","Ca_ug_mL",3.333,0.946,"June","June-27-2022","acidic tundra-Hydric"
"99","acidic tundra","Hydric",10,"2022","06","27","Fe_ug_mL",1.13,0.541,"June","June-27-2022","acidic tundra-Hydric"
"100","acidic tundra","Hydric",10,"2022","06","27","K_ug_mL",0.72,0.44,"June","June-27-2022","acidic tundra-Hydric"
"101","acidic tundra","Hydric",10,"2022","06","27","Mg_ug_mL",0.723,0.179,"June","June-27-2022","acidic tundra-Hydric"
"102","acidic tundra","Hydric",10,"2022","06","27","Mn_ug_mL",1.217,1.538,"June","June-27-2022","acidic tundra-Hydric"
"103","acidic tundra","Hydric",10,"2022","06","27","Na_ug_mL",0.66,0.272,"June","June-27-2022","acidic tundra-Hydric"
"104","acidic tundra","Hydric",10,"2022","06","27","P_ug_mL",0.033,0.04,"June","June-27-2022","acidic tundra-Hydric"
"105","acidic tundra","Hydric",10,"2022","07","06","Al_ug_mL",0.515,0.035,"July","July-06-2022","acidic tundra-Hydric"
"106","acidic tundra","Hydric",10,"2022","07","06","Ca_ug_mL",5.81,3.154,"July","July-06-2022","acidic tundra-Hydric"
"107","acidic tundra","Hydric",10,"2022","07","06","Fe_ug_mL",3.92,4.342,"July","July-06-2022","acidic tundra-Hydric"
"108","acidic tundra","Hydric",10,"2022","07","06","K_ug_mL",0.44,0,"July","July-06-2022","acidic tundra-Hydric"
"109","acidic tundra","Hydric",10,"2022","07","06","Mg_ug_mL",1.23,0.863,"July","July-06-2022","acidic tundra-Hydric"
"110","acidic tundra","Hydric",10,"2022","07","06","Mn_ug_mL",4.635,6.23,"July","July-06-2022","acidic tundra-Hydric"
"111","acidic tundra","Hydric",10,"2022","07","06","Na_ug_mL",0.445,0.049,"July","July-06-2022","acidic tundra-Hydric"
"112","acidic tundra","Hydric",10,"2022","07","06","P_ug_mL",0.007,0.004,"July","July-06-2022","acidic tundra-Hydric"
"113","acidic tundra","Hydric",10,"2022","07","11","Al_ug_mL",0.493,0.146,"July","July-11-2022","acidic tundra-Hydric"
"114","acidic tundra","Hydric",10,"2022","07","11","Ca_ug_mL",5.03,3.557,"July","July-11-2022","acidic tundra-Hydric"
"115","acidic tundra","Hydric",10,"2022","07","11","Fe_ug_mL",5.847,5.87,"July","July-11-2022","acidic tundra-Hydric"
"116","acidic tundra","Hydric",10,"2022","07","11","K_ug_mL",0.21,0.149,"July","July-11-2022","acidic tundra-Hydric"
"117","acidic tundra","Hydric",10,"2022","07","11","Mg_ug_mL",1.12,0.764,"July","July-11-2022","acidic tundra-Hydric"
"118","acidic tundra","Hydric",10,"2022","07","11","Mn_ug_mL",4.413,6.917,"July","July-11-2022","acidic tundra-Hydric"
"119","acidic tundra","Hydric",10,"2022","07","11","Na_ug_mL",0.25,0.044,"July","July-11-2022","acidic tundra-Hydric"
"120","acidic tundra","Hydric",10,"2022","07","11","P_ug_mL",0.01,0.009,"July","July-11-2022","acidic tundra-Hydric"
"121","acidic tundra","Hydric",10,"2022","07","18","Al_ug_mL",0.687,0.348,"July","July-18-2022","acidic tundra-Hydric"
"122","acidic tundra","Hydric",10,"2022","07","18","Ca_ug_mL",5.883,3.782,"July","July-18-2022","acidic tundra-Hydric"
"123","acidic tundra","Hydric",10,"2022","07","18","Fe_ug_mL",6.81,7.122,"July","July-18-2022","acidic tundra-Hydric"
"124","acidic tundra","Hydric",10,"2022","07","18","K_ug_mL",0.553,0.65,"July","July-18-2022","acidic tundra-Hydric"
"125","acidic tundra","Hydric",10,"2022","07","18","Mg_ug_mL",1.203,0.801,"July","July-18-2022","acidic tundra-Hydric"
"126","acidic tundra","Hydric",10,"2022","07","18","Mn_ug_mL",5.097,8.144,"July","July-18-2022","acidic tundra-Hydric"
"127","acidic tundra","Hydric",10,"2022","07","18","Na_ug_mL",0.413,0.31,"July","July-18-2022","acidic tundra-Hydric"
"128","acidic tundra","Hydric",10,"2022","07","18","P_ug_mL",0.012,0.008,"July","July-18-2022","acidic tundra-Hydric"
"129","acidic tundra","Hydric",10,"2022","07","25","Al_ug_mL",0.553,0.133,"July","July-25-2022","acidic tundra-Hydric"
"130","acidic tundra","Hydric",10,"2022","07","25","Ca_ug_mL",6.83,5.385,"July","July-25-2022","acidic tundra-Hydric"
"131","acidic tundra","Hydric",10,"2022","07","25","Fe_ug_mL",11.037,11.661,"July","July-25-2022","acidic tundra-Hydric"
"132","acidic tundra","Hydric",10,"2022","07","25","K_ug_mL",0.233,0.142,"July","July-25-2022","acidic tundra-Hydric"
"133","acidic tundra","Hydric",10,"2022","07","25","Mg_ug_mL",1.487,1.083,"July","July-25-2022","acidic tundra-Hydric"
"134","acidic tundra","Hydric",10,"2022","07","25","Mn_ug_mL",7.4,12.039,"July","July-25-2022","acidic tundra-Hydric"
"135","acidic tundra","Hydric",10,"2022","07","25","Na_ug_mL",0.24,0.053,"July","July-25-2022","acidic tundra-Hydric"
"136","acidic tundra","Hydric",10,"2022","07","25","P_ug_mL",0.008,0.003,"July","July-25-2022","acidic tundra-Hydric"
"137","acidic tundra","Hydric",10,"2022","08","08","Al_ug_mL",0.627,0.142,"August","August-08-2022","acidic tundra-Hydric"
"138","acidic tundra","Hydric",10,"2022","08","08","Ca_ug_mL",10.74,9.644,"August","August-08-2022","acidic tundra-Hydric"
"139","acidic tundra","Hydric",10,"2022","08","08","Fe_ug_mL",27.843,33.33,"August","August-08-2022","acidic tundra-Hydric"
"140","acidic tundra","Hydric",10,"2022","08","08","K_ug_mL",0.39,0.338,"August","August-08-2022","acidic tundra-Hydric"
"141","acidic tundra","Hydric",10,"2022","08","08","Mg_ug_mL",2.187,1.857,"August","August-08-2022","acidic tundra-Hydric"
"142","acidic tundra","Hydric",10,"2022","08","08","Mn_ug_mL",17.56,29.137,"August","August-08-2022","acidic tundra-Hydric"
"143","acidic tundra","Hydric",10,"2022","08","08","Na_ug_mL",0.24,0.095,"August","August-08-2022","acidic tundra-Hydric"
"144","acidic tundra","Hydric",10,"2022","08","08","P_ug_mL",0.012,0.008,"August","August-08-2022","acidic tundra-Hydric"
"145","acidic tundra","Hydric",10,"2022","09","17","Al_ug_mL",0.9,0,"September","September-17-2022","acidic tundra-Hydric"
"146","acidic tundra","Hydric",10,"2022","09","17","Ca_ug_mL",13.233,7.304,"September","September-17-2022","acidic tundra-Hydric"
"147","acidic tundra","Hydric",10,"2022","09","17","Fe_ug_mL",48.067,52.499,"September","September-17-2022","acidic tundra-Hydric"
"148","acidic tundra","Hydric",10,"2022","09","17","K_ug_mL",0.7,0.436,"September","September-17-2022","acidic tundra-Hydric"
"149","acidic tundra","Hydric",10,"2022","09","17","Mg_ug_mL",2.133,1.464,"September","September-17-2022","acidic tundra-Hydric"
"150","acidic tundra","Hydric",10,"2022","09","17","Mn_ug_mL",25.033,39.655,"September","September-17-2022","acidic tundra-Hydric"
"151","acidic tundra","Hydric",10,"2022","09","17","Na_ug_mL",0.433,0.058,"September","September-17-2022","acidic tundra-Hydric"
"152","acidic tundra","Hydric",10,"2022","09","17","P_ug_mL",0.05,0,"September","September-17-2022","acidic tundra-Hydric"
"153","acidic tundra","Hydric",20,"2022","07","06","Al_ug_mL",0.22,NA,"July","July-06-2022","acidic tundra-Hydric"
"154","acidic tundra","Hydric",20,"2022","07","06","Ca_ug_mL",1.65,NA,"July","July-06-2022","acidic tundra-Hydric"
"155","acidic tundra","Hydric",20,"2022","07","06","Fe_ug_mL",0.76,NA,"July","July-06-2022","acidic tundra-Hydric"
"156","acidic tundra","Hydric",20,"2022","07","06","K_ug_mL",0.42,NA,"July","July-06-2022","acidic tundra-Hydric"
"157","acidic tundra","Hydric",20,"2022","07","06","Mg_ug_mL",0.45,NA,"July","July-06-2022","acidic tundra-Hydric"
"158","acidic tundra","Hydric",20,"2022","07","06","Mn_ug_mL",0.1,NA,"July","July-06-2022","acidic tundra-Hydric"
"159","acidic tundra","Hydric",20,"2022","07","06","Na_ug_mL",0.4,NA,"July","July-06-2022","acidic tundra-Hydric"
"160","acidic tundra","Hydric",20,"2022","07","06","P_ug_mL",0.03,NA,"July","July-06-2022","acidic tundra-Hydric"
"161","acidic tundra","Hydric",20,"2022","07","11","Al_ug_mL",0.25,NA,"July","July-11-2022","acidic tundra-Hydric"
"162","acidic tundra","Hydric",20,"2022","07","11","Ca_ug_mL",1.56,NA,"July","July-11-2022","acidic tundra-Hydric"
"163","acidic tundra","Hydric",20,"2022","07","11","Fe_ug_mL",1.31,NA,"July","July-11-2022","acidic tundra-Hydric"
"164","acidic tundra","Hydric",20,"2022","07","11","K_ug_mL",0.08,NA,"July","July-11-2022","acidic tundra-Hydric"
"165","acidic tundra","Hydric",20,"2022","07","11","Mg_ug_mL",0.41,NA,"July","July-11-2022","acidic tundra-Hydric"
"166","acidic tundra","Hydric",20,"2022","07","11","Mn_ug_mL",0.12,NA,"July","July-11-2022","acidic tundra-Hydric"
"167","acidic tundra","Hydric",20,"2022","07","11","Na_ug_mL",0.23,NA,"July","July-11-2022","acidic tundra-Hydric"
"168","acidic tundra","Hydric",20,"2022","07","11","P_ug_mL",0.01,NA,"July","July-11-2022","acidic tundra-Hydric"
"169","acidic tundra","Hydric",20,"2022","07","18","Al_ug_mL",0.275,0.007,"July","July-18-2022","acidic tundra-Hydric"
"170","acidic tundra","Hydric",20,"2022","07","18","Ca_ug_mL",2.5,1.57,"July","July-18-2022","acidic tundra-Hydric"
"171","acidic tundra","Hydric",20,"2022","07","18","Fe_ug_mL",0.955,0.643,"July","July-18-2022","acidic tundra-Hydric"
"172","acidic tundra","Hydric",20,"2022","07","18","K_ug_mL",0.09,0.057,"July","July-18-2022","acidic tundra-Hydric"
"173","acidic tundra","Hydric",20,"2022","07","18","Mg_ug_mL",0.53,0.212,"July","July-18-2022","acidic tundra-Hydric"
"174","acidic tundra","Hydric",20,"2022","07","18","Mn_ug_mL",0.645,0.757,"July","July-18-2022","acidic tundra-Hydric"
"175","acidic tundra","Hydric",20,"2022","07","18","Na_ug_mL",0.31,0.156,"July","July-18-2022","acidic tundra-Hydric"
"176","acidic tundra","Hydric",20,"2022","07","18","P_ug_mL",0.01,0,"July","July-18-2022","acidic tundra-Hydric"
"177","acidic tundra","Hydric",20,"2022","07","25","Al_ug_mL",0.3,0.044,"July","July-25-2022","acidic tundra-Hydric"
"178","acidic tundra","Hydric",20,"2022","07","25","Ca_ug_mL",3.333,2.012,"July","July-25-2022","acidic tundra-Hydric"
"179","acidic tundra","Hydric",20,"2022","07","25","Fe_ug_mL",7.983,11.461,"July","July-25-2022","acidic tundra-Hydric"
"180","acidic tundra","Hydric",20,"2022","07","25","K_ug_mL",0.327,0.446,"July","July-25-2022","acidic tundra-Hydric"
"181","acidic tundra","Hydric",20,"2022","07","25","Mg_ug_mL",0.823,0.551,"July","July-25-2022","acidic tundra-Hydric"
"182","acidic tundra","Hydric",20,"2022","07","25","Mn_ug_mL",1.247,1.275,"July","July-25-2022","acidic tundra-Hydric"
"183","acidic tundra","Hydric",20,"2022","07","25","Na_ug_mL",0.377,0.214,"July","July-25-2022","acidic tundra-Hydric"
"184","acidic tundra","Hydric",20,"2022","07","25","P_ug_mL",0.012,0.008,"July","July-25-2022","acidic tundra-Hydric"
"185","acidic tundra","Hydric",20,"2022","08","08","Al_ug_mL",0.423,0.049,"August","August-08-2022","acidic tundra-Hydric"
"186","acidic tundra","Hydric",20,"2022","08","08","Ca_ug_mL",3.193,1.476,"August","August-08-2022","acidic tundra-Hydric"
"187","acidic tundra","Hydric",20,"2022","08","08","Fe_ug_mL",9.457,11.341,"August","August-08-2022","acidic tundra-Hydric"
"188","acidic tundra","Hydric",20,"2022","08","08","K_ug_mL",0.107,0.071,"August","August-08-2022","acidic tundra-Hydric"
