Sample_ID,Core_ID,Date collected,Area,Site,Plot#,Plot ID,Horizon,Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Paper bag weights (g),Bag + Wet Core Weight (g),Wet Core Weight (g),Dry weight of core + paper bag (g),Dry Core Weight (g),Soil Bulk Density (g cm-3),Gravitimetric Soil Moisture (%),Gravimetric water content (g H2O/g dry soil),Samples shipped to UTK,Shipping date,Shipment actual arrival date,Sample conditon upon arrival,Bag name,Comments,Previously assessed at CLS,Assessed at APS,Gravitimetric soil moisture content to be conducted,Sample sent for thin section,Bulk geochemical analysis
20210714-E-M1_O2,20210714-E-M1,14-Jul-21,East,Mesic,1,E-M1,O2,1.5,2.5,2,2,2,4.4,22.1,17.7,8.87,4.47,0.11,74.7,2.96,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 1 of 2,,,,,,
20210714-E-M1_M,20210714-E-M1,14-Jul-21,East,Mesic,1,E-M1,M,5.5,5.5,5,5,5.3,4.4,149.2,144.8,95.64,91.24,0.89,37,0.59,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,24th July 2021 ,,,,,,
20210714-E-M2_O,20210714-E-M2,14-Jul-21,East,Mesic,2,E-M2,O,8,7.5,7,7,7.4,4.2,65.5,61.3,31.62,27.42,0.19,55.3,1.24,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,,,,,,
20210714-E-M2_M,20210714-E-M2,14-Jul-21,East,Mesic,2,E-M2,M,9,9,9,8.9,9,4.4,275.4,271,207.39,202.99,1.15,25.1,0.34,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,,,,,,
20210714-E-M3_O1,20210714-E-M3,14-Jul-21,East,Mesic,3,E-M3,O1,5.5,6.5,5.5,8,6.4,,25.3,25.3,,0,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 2,,,,,,
20210714-E-M3_O2,20210714-E-M3,14-Jul-21,East,Mesic,3,E-M3,O2,9.5,8.5,7.5,8,8.4,,154,154,,0,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 2,,,,,,
20210714-E-H1_O1,20210714-E-H1,14-Jul-21,East,Hydric,1,E-H1,O1,10.5,10.5,8.5,7.5,9.3,4.3,50.3,46,10.4,6.1,0.03,86.7,6.54,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,"Three of these samples arrived labelled as H1 O1, while other one was labelled H1 O2. Liklely one set of H1 O1 is actually H2 O1 and H2 O2. However, there is no way to tell them apart. ",,,,,
20210714-E-H1_O2,20210714-E-H1,14-Jul-21,East,Hydric,1,E-H1,O2,6,6,5,5.5,5.6,4.4,74.2,69.8,17.73,13.33,0.12,80.9,4.24,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,,,,,,
20210714-E-H2_O1,20210714-E-H2,14-Jul-21,East,Hydric,2,E-H2,O1,6.5,5.5,4,5,5.3,4.3,34.2,29.9,9.2,4.9,0.05,83.6,5.1,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,,,,,,
20210714-E-H2_O2,20210714-E-H2,14-Jul-21,East,Hydric,2,E-H2,O2,10,9.5,9,9,9.4,4.4,149.6,145.2,42.6,38.2,0.21,73.7,2.8,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,,,,,,
20210714-E-H3_O1,20210714-E-H3,14-Jul-21,East,Hydric,3,E-H3,O1,9,8.5,11,11,9.9,4.3,56.2,51.9,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 1,,,,,,
20210714-E-H3_O2,20210714-E-H3,14-Jul-21,East,Hydric,3,E-H3,O2,8,7,8,9,8,4.3,137.6,133.3,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 1,,,,,,
20210724-W-T1_O,20210724-W-T1,24-Jul-21,West,Transect,T1,W-T1,O,5.5,7,7.5,7.5,6.9,1.4,89.7,88.3,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 16,,,,,,
20210724-W-T1_M,20210724-W-T1,24-Jul-21,West,Transect,T1,W-T1,M,13,12.5,11.5,12.5,12.4,1.4,284.6,283.2,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 16,,,,,,
20210724-W-T2_O1,20210724-W-T2,24-Jul-21,West,Transect,T2,W-T2,O1,3.5,4.5,4.5,3,3.9,4.3,23.4,19.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 17,,,,,,
20210724-W-T2_O2,20210724-W-T2,24-Jul-21,West,Transect,T2,W-T2,O2,6,7.5,7,7,6.9,4.2,137.6,133.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 17,,,,,,
20210724-W-T2_M,20210724-W-T2,24-Jul-21,West,Transect,T2,W-T2,M,,,,,,4.4,180.8,176.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 17,,,,,,
20210724-W-T3_O,20210724-W-T3,24-Jul-21,West,Transect,T3,W-T3,O,11,12,10.5,12,11.4,4.4,152.5,148.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 18,,,,,,
20210724-W-T3_M,20210724-W-T3,24-Jul-21,West,Transect,T3,W-T3,M,12.5,,,,12.5,4.3,179.5,175.2,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 18,,,,,,
20210724-W-T4_O1,20210724-W-T4,24-Jul-21,West,Transect,T4,W-T4,O1,12.5,12.5,11,11.5,11.9,4.3,176.3,172,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 19,,,,,,
20210724-W-T4_O2,20210724-W-T4,24-Jul-21,West,Transect,T4,W-T4,O2,7.5,7.5,8,8.5,7.9,4.4,245.6,241.2,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 19,,,,,,
20210724-W-T5_O1,20210724-W-T5,24-Jul-21,West,Transect,T5,W-T5,O1,7.5,6,5,7,6.4,4.4,50.6,46.2,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 20,,,,,,
20210724-W-T5_O2,20210724-W-T5,24-Jul-21,West,Transect,T5,W-T5,O2,9,8.5,8.5,8,8.5,4.4,180,175.6,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 20,,,,,,
20210724-W-T6_O1,20210724-W-T6,24-Jul-21,West,Transect,T6,W-T6,O1,6.5,7.5,7.5,7,7.1,4.4,50.1,45.7,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 21,,,,,,
20210724-W-T6_O2,20210724-W-T6,24-Jul-21,West,Transect,T6,W-T6,O2,10,10.5,9.5,9,9.8,4.4,160.8,156.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 21,,,,,,
20210724-W-T6_M,20210724-W-T6,24-Jul-21,West,Transect,T6,W-T6,M,5,4.5,5.5,5.5,5.1,4.4,156.2,151.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 21,,,,,,
20210724-W-T7_O1,20210724-W-T7,24-Jul-21,West,Transect,T7,W-T7,O1,8,8,8,9.6,8.4,4.4,61.2,56.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 22,,,,,,
20210724-W-T7_O2,20210724-W-T7,24-Jul-21,West,Transect,T7,W-T7,O2,12.5,13,12.5,14,13,4.4,195.2,190.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 22,,,,,,
20210724-W-T8_O1,20210724-W-T8,24-Jul-21,West,Transect,T8,W-T8,O1,11.5,10.5,11,11,11,1.4,49.2,47.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 23,,,,,,
20210724-W-T8_O2,20210724-W-T8,24-Jul-21,West,Transect,T8,W-T8,O2,12,11,12,11.5,11.6,1.4,163.3,161.9,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 23,,,,,,
20210724-W-T9_O1,20210724-W-T9,24-Jul-21,West,Transect,T9,W-T9,O1,9.5,9,9,7.5,8.8,4.4,38.5,34.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 24,,,,,,
20210724-W-T9_O2,20210724-W-T9,24-Jul-21,West,Transect,T9,W-T9,O2,11,12.5,12.5,12.5,12.1,4.3,179,174.7,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 24,,,,,,
20210724-W-T10_O1,20210724-W-T10,24-Jul-21,West,Transect,T10,W-T10,O1,15,14,14,15.5,14.6,1.4,60.8,59.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 25,,,,,,
20210724-W-T10_O2,20210724-W-T10,24-Jul-21,West,Transect,T10,W-T10,O2,7,6.5,7,5.5,6.5,1.4,94.2,92.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 25,,,,,,
20210724-W-T11_O1,20210724-W-T11,24-Jul-21,West,Transect,T11,W-T11,O1,8.5,9.5,9.5,8.5,9,1.4,43.9,42.5,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 26,,,,,,
20210724-W-T11_O2,20210724-W-T11,24-Jul-21,West,Transect,T11,W-T11,O2,10,10,9.5,9,9.6,1.4,124.5,123.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 26,,,,,,
20210724-W-T12_O1,20210724-W-T12,24-Jul-21,West,Transect,T12,W-T12,O1,10.5,10,9.5,10.5,10.1,4.3,143.1,138.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 27,,,,,,
20210724-W-T12_O2,20210724-W-T12,24-Jul-21,West,Transect,T12,W-T12,O2,10,10,9.5,11,10.1,4.3,156,151.7,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 27,,,,,,
20210724-W-T13_O,20210724-W-T13,24-Jul-21,West,Transect,T13,W-T13,O,15,12.5,13,14,13.6,1.4,,-1.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly thawed,Bag 28,,,,,,
20210724-E-T1_O1,20210724-E-T1,24-Jul-21,East,Transect,T1,E-T1,O1,8.5,9,9.5,11,9.5,4.5,48.6,44.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 3,,,,,,
20210724-E-T1_O2,20210724-E-T1,24-Jul-21,East,Transect,T1,E-T1,O2,12,13,12,14.5,12.9,4.4,240.2,235.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 3,,,,,,
20210724-E-T2_O1,20210724-E-T2,24-Jul-21,East,Transect,T2,E-T2,O1,8,7.5,10,8,8.4,4.4,36.5,32.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 4,,,,,,
20210724-E-T2_O2,20210724-E-T2,24-Jul-21,East,Transect,T2,E-T2,O2,13,13.5,13,13,13.1,4.3,143.3,139,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 4,,,,,,
20210724-E-T3_O1,20210724-E-T3,24-Jul-21,East,Transect,T3,E-T3,O1,7.5,6.5,8.5,5.5,7,4.3,36.4,32.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 5,,,,,,
20210724-E-T3_O2,20210724-E-T3,24-Jul-21,East,Transect,T3,E-T3,O2,12,9,9,9.5,9.9,4.4,173.1,168.7,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 5,,,,,,
20210724-E-T4_O1,20210724-E-T4,24-Jul-21,East,Transect,T4,E-T4,O1,10,9,9,9,9.3,4.4,66.5,62.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 6,,,,,,
20210724-E-T4_O2,20210724-E-T4,24-Jul-21,East,Transect,T4,E-T4,O2,2.5,4.5,4.5,3.5,3.8,4.4,33.8,29.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 6,,,,,,
20210724-E-T5_O1,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,O1,7.5,10,9.5,9.5,9.1,4.3,23.7,19.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 7,,,,,,
20210724-E-T5_O2,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,O2,6,7,7.5,7.5,7,4.3,44.7,40.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 7,,,,,,
20210724-E-T5_M,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,M,5,4.5,6,7,5.6,4.4,120.8,116.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 7,,,,,,
20210724-E-T6_O,20210724-E-T6,24-Jul-21,East,Transect,T6,E-T6,O,8.5,8.5,8.5,8,8.4,4.3,23.6,19.3,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 8,,,,,,
20210724-E-T6_M,20210724-E-T6,24-Jul-21,East,Transect,T6,E-T6,M,9.5,10,9.5,8,9.3,4.3,261.1,256.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 8,,,,,,
20210724-E-T7_O,20210724-E-T7,24-Jul-21,East,Transect,T7,E-T7,O,2.5,2.5,2,2,2.3,4.4,14.1,9.7,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 9,,,,,,
20210724-E-T7_M,20210724-E-T7,24-Jul-21,East,Transect,T7,E-T7,M,12.5,11,11,9.5,11,4.4,350.2,345.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 9,,,,,,
20210724-E-T8_O1,20210724-E-T8,24-Jul-21,East,Transect,T8,E-T8,O1,11.5,10,11,10,10.6,4.3,52.7,48.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 10,,,,,,
20210724-E-T8_O2,20210724-E-T8,24-Jul-21,East,Transect,T8,E-T8,O2,5.5,5.5,5,5,5.3,4.3,65.3,61,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 10,,,,,,
20210724-E-T9_O,20210724-E-T9,24-Jul-21,East,Transect,T9,E-T9,O,8,7.5,8.5,8.5,8.1,4.3,51.4,47.1,,,,,,Shipment 1,9/24/2021,9/27/2021,"Mostly Thawed (Bag was damaged, so the melted ice water definitely entered the bag)",Bag 11,,,,,,
20210724-E-T9_M,20210724-E-T9,24-Jul-21,East,Transect,T9,E-T9,M,11,11,11,12,11.3,4.3,366.7,362.4,,,,,,Shipment 1,9/24/2021,9/27/2021,"Mostly Thawed (Bag was damaged, so the melted ice water definitely entered the bag)",Bag 11,,,,,,
20210724-E-T10_O1,20210724-E-T10,24-Jul-21,East,Transect,T10,E-T10,O1,6.5,8,8,6.5,7.3,4.3,34.4,30.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 12,,,,,,
20210724-E-T10_O2,20210724-E-T10,24-Jul-21,East,Transect,T10,E-T10,O2,10.5,9.5,9,8.5,9.4,4.3,275.5,271.2,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 12,,,,,,
20210724-E-T11_O1,20210724-E-T11,24-Jul-21,East,Transect,T11,E-T11,O1,7,8.5,6,6,6.9,4.3,40.1,35.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 13,,,,,,
20210724-E-T11_O2,20210724-E-T11,24-Jul-21,East,Transect,T11,E-T11,O2,6,5.5,6.5,7.5,6.4,4.3,86.5,82.2,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 13,,,,,,
20210724-E-T12_O1,20210724-E-T12,24-Jul-21,East,Transect,T12,E-T12,O1,13,13,14,13.5,13.4,4.3,36.7,32.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 14,,,,,,
20210724-E-T12_O2,20210724-E-T12,24-Jul-21,East,Transect,T12,E-T12,O2,6,5,5,4.5,5.1,4.4,69.5,65.1,,,,,,Shipment 1,9/24/2021,9/27/2021,Partially thawed,Bag 14,,,,,,
20210724-E-T13_O1,20210724-E-T13,24-Jul-21,East,Transect,T13,E-T13,O1,7.5,8.5,8,8,8,4.3,67.3,63,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 15,,,,,,
20210724-E-T13_O2,20210724-E-T13,24-Jul-21,East,Transect,T13,E-T13,O2,9,10,9,8,9,4.3,133.3,129,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 15,,,,,,
20210730-E-D1_O1,20210730-E-D1,30-Jul-21,East,Dry,1,E-D1,O1,9.5,8.5,8.5,11,9.4,1.4,43.9,42.5,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed (Standing water in bag),Bag 29,,,,,,
20210730-E-D1_O2,20210730-E-D1,30-Jul-21,East,Dry,1,E-D1,O2,13,12.5,11.5,11,12,1.4,165.9,164.5,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed (Standing water in bag),Bag 29,,,,,,
20210730-E-D2_O1,20210730-E-D2,30-Jul-21,East,Dry,2,E-D2,O1,12.5,9.5,7.5,10.5,10,1.4,85.2,83.8,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 30,,,,,,
20210730-E-D2_O2,20210730-E-D2,30-Jul-21,East,Dry,2,E-D2,O2,8,6.5,6.5,7.5,7.1,1.4,156.8,155.4,,,,,,Shipment 1,9/24/2021,9/27/2021,Mostly Thawed,Bag 30,,,,,,
20210730-E-D3_O,20210730-E-D3,30-Jul-21,East,Dry,3,E-D3,O,7.5,7.5,8,8.5,7.9,1.4,96.2,94.8,46.37,44.97,0.29,52.6,1.11,Shipment 1,9/24/2021,9/27/2021,Partially thawed (Standing water in bag),Bag 31,,,,1,,
