Sample_ID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_manualcalcs,real_depth_cm,Paper_bag_weights_g,bag_wetcoreweight_g,wet_core_weight,dry_weight_of_core_and_bag_g,dry_core_weight_g,soil_bulk_density_g_cm3,grav_moist_perc,grav_water_gh20_per_gdrysoil
20210724-W-T13_O,20210724-W-T13,24-Jul-21,West,Transect,T13,W-T13,O,15,12.5,13,14,13.6,13.6,13.6,1.4,,-1.4,,,,,
20210724-E-T1_O1,20210724-E-T1,24-Jul-21,East,Transect,T1,E-T1,O1,8.5,9,9.5,11,9.5,9.5,9.5,4.5,48.6,44.1,,,,,
20210724-E-T1_O2,20210724-E-T1,24-Jul-21,East,Transect,T1,E-T1,O2,12,13,12,14.5,12.9,22.4,22.4,4.4,240.2,235.8,,,,,
20210724-E-T2_O1,20210724-E-T2,24-Jul-21,East,Transect,T2,E-T2,O1,8,7.5,10,8,8.4,8.4,8.4,4.4,36.5,32.1,,,,,
20210724-E-T2_O2,20210724-E-T2,24-Jul-21,East,Transect,T2,E-T2,O2,13,13.5,13,13,13.1,21.5,21.5,4.3,143.3,139,,,,,
20210724-E-T3_O1,20210724-E-T3,24-Jul-21,East,Transect,T3,E-T3,O1,7.5,6.5,8.5,5.5,7,7,7,4.3,36.4,32.1,,,,,
20210724-E-T3_O2,20210724-E-T3,24-Jul-21,East,Transect,T3,E-T3,O2,12,9,9,9.5,9.9,16.9,16.9,4.4,173.1,168.7,,,,,
20210724-E-T4_O1,20210724-E-T4,24-Jul-21,East,Transect,T4,E-T4,O1,10,9,9,9,9.3,9.3,9.3,4.4,66.5,62.1,,,,,
20210724-E-T4_O2,20210724-E-T4,24-Jul-21,East,Transect,T4,E-T4,O2,2.5,4.5,4.5,3.5,3.8,13.1,13.1,4.4,33.8,29.4,,,,,
20210724-E-T5_O1,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,O1,7.5,10,9.5,9.5,9.1,9.1,9.1,4.3,23.7,19.4,,,,,
20210724-E-T5_O2,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,O2,6,7,7.5,7.5,7,16.1,16.1,4.3,44.7,40.4,,,,,
20210724-E-T5_M,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,M,5,4.5,6,7,5.6,21.7,21.7,4.4,120.8,116.4,,,,,
20210724-E-T6_O,20210724-E-T6,24-Jul-21,East,Transect,T6,E-T6,O,8.5,8.5,8.5,8,8.4,8.4,8.4,4.3,23.6,19.3,,,,,
20210724-E-T6_M,20210724-E-T6,24-Jul-21,East,Transect,T6,E-T6,M,9.5,10,9.5,8,9.3,17.7,17.7,4.3,261.1,256.8,,,,,
20210724-E-T7_O,20210724-E-T7,24-Jul-21,East,Transect,T7,E-T7,O,2.5,2.5,2,2,2.3,2.3,2.3,4.4,14.1,9.7,,,,,
20210724-E-T7_M,20210724-E-T7,24-Jul-21,East,Transect,T7,E-T7,M,12.5,11,11,9.5,11,13.3,13.3,4.4,350.2,345.8,,,,,
20210724-E-T8_O1,20210724-E-T8,24-Jul-21,East,Transect,T8,E-T8,O1,11.5,10,11,10,10.6,10.6,10.6,4.3,52.7,48.4,,,,,
20210724-E-T8_O2,20210724-E-T8,24-Jul-21,East,Transect,T8,E-T8,O2,5.5,5.5,5,5,5.3,15.9,15.9,4.3,65.3,61,,,,,
20210724-E-T9_O,20210724-E-T9,24-Jul-21,East,Transect,T9,E-T9,O,8,7.5,8.5,8.5,8.1,8.1,8.1,4.3,51.4,47.1,,,,,
20210724-E-T9_M,20210724-E-T9,24-Jul-21,East,Transect,T9,E-T9,M,11,11,11,12,11.3,19.4,19.4,4.3,366.7,362.4,,,,,
20210724-E-T10_O1,20210724-E-T10,24-Jul-21,East,Transect,T10,E-T10,O1,6.5,8,8,6.5,7.3,7.3,7.3,4.3,34.4,30.1,,,,,
20210724-E-T10_O2,20210724-E-T10,24-Jul-21,East,Transect,T10,E-T10,O2,10.5,9.5,9,8.5,9.4,16.7,16.7,4.3,275.5,271.2,,,,,
20210724-E-T11_O1,20210724-E-T11,24-Jul-21,East,Transect,T11,E-T11,O1,7,8.5,6,6,6.9,6.9,6.9,4.3,40.1,35.8,,,,,
20210724-E-T11_O2,20210724-E-T11,24-Jul-21,East,Transect,T11,E-T11,O2,6,5.5,6.5,7.5,6.4,13.3,13.3,4.3,86.5,82.2,,,,,
20210724-E-T12_O1,20210724-E-T12,24-Jul-21,East,Transect,T12,E-T12,O1,13,13,14,13.5,13.4,13.4,13.4,4.3,36.7,32.4,,,,,
20210724-E-T12_O2,20210724-E-T12,24-Jul-21,East,Transect,T12,E-T12,O2,6,5,5,4.5,5.1,18.5,18.5,4.4,69.5,65.1,,,,,
20210724-E-T13_O1,20210724-E-T13,24-Jul-21,East,Transect,T13,E-T13,O1,7.5,8.5,8,8,8,8,8,4.3,67.3,63,,,,,
20210724-E-T13_O2,20210724-E-T13,24-Jul-21,East,Transect,T13,E-T13,O2,9,10,9,8,9,17,17,4.3,133.3,129,,,,,
20210730-E-D1_O1,20210730-E-D1,30-Jul-21,East,Dry,1,E-D1,O1,9.5,8.5,8.5,11,9.4,9.4,9.4,1.4,43.9,42.5,,,,,
20210730-E-D1_O2,20210730-E-D1,30-Jul-21,East,Dry,1,E-D1,O2,13,12.5,11.5,11,12,21.4,21.4,1.4,165.9,164.5,,,,,
20210730-E-D2_O1,20210730-E-D2,30-Jul-21,East,Dry,2,E-D2,O1,12.5,9.5,7.5,10.5,10,10,10,1.4,85.2,83.8,,,,,
20210730-E-D2_O2,20210730-E-D2,30-Jul-21,East,Dry,2,E-D2,O2,8,6.5,6.5,7.5,7.1,17.1,17.1,1.4,156.8,155.4,,,,,
20210730-E-D3_O,20210730-E-D3,30-Jul-21,East,Dry,3,E-D3,O,7.5,7.5,8,8.5,7.9,7.9,7.9,1.4,96.2,94.8,46.37,44.97,0.29,52.6,1.11
20210730-E-D3_M,20210730-E-D3,30-Jul-21,East,Dry,3,E-D3,M,14,13.5,13.5,12,13.3,21.2,21.2,1.4,450.2,448.8,364.77,363.37,1.4,19,0.24
20210730-E-M1_O,20210730-E-M1,30-Jul-21,East,Mesic,1,E-M1,O,9,8,7,9.5,8.4,8.4,8.4,1.4,66.2,64.8,12.98,,,,
20210730-E-M1_M,20210730-E-M1,30-Jul-21,East,Mesic,1,E-M1,M,11.5,12.5,12,10.5,11.6,20,20,1.4,354.8,353.4,281.9,,,,
20210730-E-M2_O1,20210730-E-M2,30-Jul-21,East,Mesic,2,E-M2,O1,12,12,11.5,12,11.9,11.9,11.9,1.4,93.9,92.5,,,,,
20210730-E-M2_O2,20210730-E-M2,30-Jul-21,East,Mesic,2,E-M2,O2,4.5,4,4,2.5,3.8,15.7,15.7,1.4,43.2,41.8,,,,,
20210730-E-M2_M,20210730-E-M2,30-Jul-21,East,Mesic,2,E-M2,M,8.5,7,7.5,8.5,7.9,23.6,23.6,1.4,219.4,218,,,,,
20210730-E-M3_O1,20210730-E-M3,30-Jul-21,East,Mesic,3,E-M3,O1,11.5,13.5,12,11,12,12,12,1.4,65.5,64.1,,,,,
20210730-E-M3_O2,20210730-E-M3,30-Jul-21,East,Mesic,3,E-M3,O2,7,5.5,6,7.5,6.5,18.5,18.5,1.4,69.4,68,,,,,
20210730-E-H1_O1,20210730-E-H1,30-Jul-21,East,Hydric,1,E-H1,O1,14.5,15,14,13.5,14.3,14.3,14.3,1.4,62.4,61,,,,,
20210730-E-H1_O2,20210730-E-H1,30-Jul-21,East,Hydric,1,E-H1,O2,3.5,4,4.5,4.5,4.1,18.4,18.4,1.4,63.5,62.1,,,,,
20210730-E-H2_O1,20210730-E-H2,30-Jul-21,East,Hydric,2,E-H2,O1,11,11.5,11.5,10,11,11,11,1.4,165,163.6,,,,,
20210730-E-H2_O2,20210730-E-H2,30-Jul-21,East,Hydric,2,E-H2,O2,9,11.5,12,11,10.9,21.9,21.9,1.4,129.3,127.9,,,,,
20210730-E-H3_O1,20210730-E-H3,30-Jul-21,East,Hydric,3,E-H3,O1,5,6.5,6,6.5,6,6,6,1.4,27.6,26.2,,,,,
20210730-E-H3_O2,20210730-E-H3,30-Jul-21,East,Hydric,3,E-H3,O2,5,5,5.5,4.5,5,11,11,1.4,47.3,45.9,,,,,
20210730-E-H3_M,20210730-E-H3,30-Jul-21,East,Hydric,3,E-H3,M,4.5,5.5,6,6,5.5,16.5,16.5,1.4,114.1,112.7,,,,,
20210731-W-D1_O1,20210731-W-D1,31-Jul-21,West,Dry,1,W-D1,O1,8,9,8,7.5,8.1,8.1,8.1,1.4,46.1,44.7,,,,,
20210731-W-D1_O2,20210731-W-D1,31-Jul-21,West,Dry,1,W-D1,O2,14,13,14.5,13.5,13.8,21.9,21.9,1.4,209.5,208.1,,,,,
20210731-W-D2_O1,20210731-W-D2,31-Jul-21,West,Dry,2,W-D2,O1,8.5,8.5,9,9,8.8,8.8,8.8,1.4,71.7,70.3,,,,,
20210731-W-D2_O2,20210731-W-D2,31-Jul-21,West,Dry,2,W-D2,O2,12,12,12.5,12.5,12.3,21.1,21.1,1.4,209.3,207.9,,,,,
20210731-W-D3_O1,20210731-W-D3,31-Jul-21,West,Dry,3,W-D3,O1,8.5,8.5,9,7.5,8.4,8.4,8.4,1.4,64.5,63.1,13.18,11.78,0.07,81.3,4.36
20210731-W-D3_O2,20210731-W-D3,31-Jul-21,West,Dry,3,W-D3,O2,13,13.5,15,13.5,13.8,22.2,22.2,1.4,276.1,274.7,104.1,102.7,0.38,62.6,1.67
20210731-W-M1_O1,20210731-W-M1,31-Jul-21,West,Mesic,1,W-M1,O1,5,5.5,5,5,5.1,5.1,5.1,1.4,46.3,44.9,,,,,
20210731-W-M1_O2,20210731-W-M1,31-Jul-21,West,Mesic,1,W-M1,O2,11,12.5,11.5,11,11.5,16.6,16.6,1.4,171.3,169.9,,,,,
20210731-W-M2_O1,20210731-W-M2,31-Jul-21,West,Mesic,2,W-M2,O1,10,10.5,10,10,10.1,10.1,10.1,1.4,91.8,90.4,,,,,
20210731-W-M2_O2,20210731-W-M2,31-Jul-21,West,Mesic,2,W-M2,O2,10.5,10.5,11,10,10.5,20.6,20.6,1.4,178.5,177.1,,,,,
20210731-W-M3_O1,20210731-W-M3,31-Jul-21,West,Mesic,3,W-M3,O1,7.5,8.5,9,9.5,8.6,8.6,8.6,1.4,57.9,56.5,,,,,
20210731-W-M3_O2,20210731-W-M3,31-Jul-21,West,Mesic,3,W-M3,O2,13,12,11,10.5,11.6,20.2,20.2,1.4,182.3,180.9,,,,,
20210731-W-H1_O1,20210731-W-H1,31-Jul-21,West,Hydric,1,W-H1,O1,9.5,9,9,9,9.1,9.1,9.1,1.4,139.5,138.1,,,,,
20210731-W-H1_O2,20210731-W-H1,31-Jul-21,West,Hydric,1,W-H1,O2,9,8,6.5,8.5,8,17.1,17.1,1.4,151.3,149.9,,,,,
20210731-W-H2_O1,20210731-W-H2,31-Jul-21,West,Hydric,2,W-H2,O1,9.5,9,8.5,9.5,9.1,9.1,9.1,1.4,119.2,117.8,,,,,
20210731-W-H2_O2,20210731-W-H2,31-Jul-21,West,Hydric,2,W-H2,O2,11,9.5,11,9,10.1,19.2,19.2,1.4,162.4,161,,,,,
20210731-W-H3_O1,20210731-W-H3,31-Jul-21,West,Hydric,3,W-H3,O1,8,7,8.5,9,8.1,8.1,8.1,1.4,59.4,58,,,,,
20210731-W-H3_O2,20210731-W-H3,31-Jul-21,West,Hydric,3,W-H3,O2,6,7.5,8,6,6.9,15,15,1.4,81,79.6,,,,,
20210807-E-D1_O1,20210807-E-D1,7-Aug-21,East,Dry,1,E-D1,O1,9,10,10,9.5,9.6,9.6,9.6,1.4,44.8,43.4,,,,,
20210807-E-D1_O2,20210807-E-D1,7-Aug-21,East,Dry,1,E-D1,O2,8.5,7.5,9,10,8.8,18.4,18.4,1.5,127.6,126.1,,,,,
20210807-E-D2_O,20210807-E-D2,7-Aug-21,East,Dry,2,E-D2,O,7.5,7.5,7.5,7.5,7.5,7.5,7.5,1.4,17.3,15.9,5.57,4.17,0.03,73.8,2.81
20210807-E-D2_M,20210807-E-D2,7-Aug-21,East,Dry,2,E-D2,M,13.5,11,12.5,12.5,12.4,19.9,19.9,1.4,208.8,207.4,105.43,104.03,0.43,49.8,0.99
20210807-E-D3_O1,20210807-E-D3,7-Aug-21,East,Dry,3,E-D3,O1,12,11.5,11.5,12,11.8,11.8,11.8,1.4,45,43.6,8.49,7.09,0.03,83.7,5.15
20210807-E-D3_O2,20210807-E-D3,7-Aug-21,East,Dry,3,E-D3,O2,7.5,7.5,8.5,9,8.1,19.9,19.9,1.4,142.6,141.2,54.14,52.74,0.33,62.6,1.68
20210807-E-M1_O,20210807-E-M1,7-Aug-21,East,Mesic,1,E-M1,O,3.5,4,3.5,3.5,3.6,3.6,3.6,1.4,19.1,17.7,6.66,5.26,0.07,70.3,2.37
20210807-E-M1_M1,20210807-E-M1,7-Aug-21,East,Mesic,1,E-M1,M1,3.5,3.5,3.5,4,3.6,7.2,7.2,1.4,92.6,91.2,71.84,70.44,0.99,22.8,0.29
20210807-E-M1_M2,20210807-E-M1,7-Aug-21,East,Mesic,1,E-M1,M2,9,5.5,10,10,8.6,15.8,15.8,1.4,272.2,270.8,218.7,217.3,1.28,19.8,0.25
20210807-E-M2_O1,20210807-E-M2,7-Aug-21,East,Mesic,2,E-M2,O1,8.5,9.5,9.5,8.5,9,9,9,1.4,41.3,39.9,,,,,
20210807-E-M2_O2,20210807-E-M2,7-Aug-21,East,Mesic,2,E-M2,O2,6,6.5,5,5.5,5.8,14.8,14.8,1.4,55,53.6,,,,,
20210807-E-M3_O,20210807-E-M3,7-Aug-21,East,Mesic,3,E-M3,O,4.5,5.5,6,5.5,5.4,5.4,5.4,1.4,29.7,28.3,8.03,6.63,0.06,76.6,3.27
20210807-E-M3_M,20210807-E-M3,7-Aug-21,East,Mesic,3,E-M3,M,10,11,12,11.5,11.1,16.5,16.5,1.4,290.9,289.5,198.98,197.58,0.9,31.8,0.47
20210807-E-H1_O1,20210807-E-H1,7-Aug-21,East,Hydric,1,E-H1,O1,5.5,4,5,7,5.4,5.4,5.4,1.4,42.4,41,8.37,6.97,0.07,83,4.88
20210807-E-H1_O2,20210807-E-H1,7-Aug-21,East,Hydric,1,E-H1,O2,8,8.5,7.5,7,7.8,13.2,13.2,1.4,133.7,132.3,36.89,35.49,0.23,73.2,2.73
20210807-E-H1_M,20210807-E-H1,7-Aug-21,East,Hydric,1,E-H1,M,7,7,8,7,7.3,20.5,20.5,1.4,185.3,183.9,115.62,114.22,0.8,37.9,0.61
20210807-E-H2_O1,20210807-E-H2,7-Aug-21,East,Hydric,2,E-H2,O1,6,6,3.5,5.5,5.3,5.3,5.3,1.4,7.2,5.8,,,,,
20210807-E-H2_O2,20210807-E-H2,7-Aug-21,East,Hydric,2,E-H2,O2,7.5,7,7,5.5,6.8,12.1,12.1,1.4,43.8,42.4,,,,,
20210807-E-H2_O 3,20210807-E-H2,7-Aug-21,East,Hydric,2,E-H2,O3,7,9.5,10,9,8.9,21,21,1.4,120.3,118.9,,,,,
20210807-E-H3_O1,20210807-E-H3,7-Aug-21,East,Hydric,3,E-H3,O1,8,7,6,6.5,6.9,6.9,6.9,1.4,83,81.6,,,,,
20210807-E-H3_O2,20210807-E-H3,7-Aug-21,East,Hydric,3,E-H3,O2,7.5,8,9,9.5,8.5,15.4,15.4,1.4,103.6,102.2,,,,,
20210807-W-D1_O1,20210807-W-D1,7-Aug-21,West,Dry,1,W-D1,O1,8,8,6,7,7.3,7.3,7.3,1.4,51,49.6,,,,,
20210807-W-D1_O2,20210807-W-D1,7-Aug-21,West,Dry,1,W-D1,O2,12.5,13,13,13.5,13,20.3,20.3,1.4,200.7,199.3,,,,,
20210807-W-D2_O1,20210807-W-D2,7-Aug-21,West,Dry,2,W-D2,O1,9,8.5,9.5,9.5,9.1,9.1,9.1,1.4,48.4,47,,,,,
20210807-W-D2_O2,20210807-W-D2,7-Aug-21,West,Dry,2,W-D2,O2,10.5,10.5,10,10,10.3,19.4,19.4,1.4,164.6,163.2,,,,,
20210807-W-D3_O1,20210807-W-D3,7-Aug-21,West,Dry,3,W-D3,O1,9,8.5,7.5,8.5,8.4,8.4,8.4,1.4,35.6,34.2,,,,,
20210807-W-D3_O2,20210807-W-D3,7-Aug-21,West,Dry,3,W-D3,O2,12.5,13,12.5,14.5,13.1,21.5,21.5,1.4,199.6,198.2,,,,,
20210807-W-M1_O1,20210807-W-M1,7-Aug-21,West,Mesic,1,W-M1,O1,9,11,11,9,10,10,10,1.4,48.3,46.9,,,,,
20210807-W-M1_O2,20210807-W-M1,7-Aug-21,West,Mesic,1,W-M1,O2,7,7,6.5,5,6.4,16.4,16.4,1.4,57.7,56.3,,,,,
20210807-W-M2_O1,20210807-W-M2,7-Aug-21,West,Mesic,2,W-M2,O1,9.5,9.5,10,9,9.5,9.5,9.5,1.4,71.7,70.3,13.15,11.75,0.06,83.3,
20210807-W-M2_O2,20210807-W-M2,7-Aug-21,West,Mesic,2,W-M2,O2,9.5,10.5,9,8,9.3,18.8,18.8,1.4,126.1,124.7,34.12,32.72,0.18,73.8,2.81
20210807-W-M2_M,20210807-W-M2,7-Aug-21,West,Mesic,2,W-M2,M,3.5,3,3,3.5,3.3,22.1,22.1,1.4,88.1,86.7,55.15,53.75,0.84,38,0.61
20210807-W-M3_O1,20210807-W-M3,7-Aug-21,West,Mesic,3,W-M3,O1,9.5,10,9,8.5,9.3,9.3,9.3,1.4,65.1,63.7,,,,,
20210807-W-M3_O2,20210807-W-M3,7-Aug-21,West,Mesic,3,W-M3,O2,10,10.5,11,10,10.4,19.7,19.7,1.4,143.4,142,,,,,
20210807-W-H1_O1,20210807-W-H1,7-Aug-21,West,Hydric,1,W-H1,O1,8.5,8.5,9,8.5,8.6,8.6,8.6,1.4,111.5,110.1,27.16,25.76,0.15,76.6,3.27
20210807-W-H1_O2,20210807-W-H1,7-Aug-21,West,Hydric,1,W-H1,O2,8.5,9.5,7,8,8.3,16.9,16.9,1.4,123.4,122,,,,,
20210807-W-H2_O1,20210807-W-H2,7-Aug-21,West,Hydric,2,W-H2,O1,9.5,10.5,12,12.5,11.1,11.1,11.1,1.4,138.9,137.5,41.1,39.7,0.18,71.1,2.46
20210807-W-H2_O2,20210807-W-H2,7-Aug-21,West,Hydric,2,W-H2,O2,8,9.5,9,9,8.9,20,20,1.4,126.5,125.1,27.97,26.57,0.15,78.8,3.71
20210807-W-H3_O1,20210807-W-H3,7-Aug-21,West,Hydric,3,W-H3,O1,9,10,10,10,9.8,9.8,9.8,1.4,131.9,130.5,,,,,
20210807-W-H3_O2,20210807-W-H3,7-Aug-21,West,Hydric,3,W-H3,O2,8,8,8.5,8.5,8.3,18.1,18.1,1.4,115,113.6,,,,,
